Blog	four	second	here	music	until	example	want	feature	how	series	re	millions	wasn	service	needed	project	person	came	saying	best	asked	much	life	worked	things	had	easy	possible	right	old	people	continue	support	week	inside	time	team	along	love	working	anything	following	such	data	so	years	didn	internet	million	wrong	open	city	future	say	note	take	going	where	many	wants	photos	being	around	world	power	image	her	am	tv	th	large	small	past	hours	experience	pick	via	company	learn	its	always	found	really	major	number	also	play	plan	sometimes	set	see	available	last	let	community	recent	using	couple	d	into	link	line	up	us	ago	having	results	try	video	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	email	co	ve	site	off	less	web	day	five	become	does	worth	announced	told	thursday	word	work	provide	earlier	then	them	they	network	created	another	do	away	com	information	launched	photo	night	post	months	way	was	true	update	together	global	change	live	car	december	write	product	still	half	now	year	happen	space	looking	shows	care	than	online	america	only	between	comes	these	media	thinking	real	read	early	amp	business	your	aren	low	lot	trying	building	since	month	very	family	put	taken	tried	help	soon	actually	event	reason	ask	american	clear	latest	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	popular	some	run	step	within	doesn	e	go	facebook	click	products	started	links	including	him	special	times	need	able	based	course	she	key	problem	party	well	page	twitter	home	he	stories	piece	friends	companies	across	likely	even	new	ever	never	campaign	call	tell	give	amazing	president	third	before	better	weeks	went	side	content	isn	features	matter	seen	don	m	stop	bad	said	against	three	website	if	make	left	just	yet	save	deal	down	drive	daily	finally	did	making	may	man	maybe	talk	nbsp	group	interesting	morning	after	thing	think	first	fast	little	anyone	were	especially	show	get	enough	reading	according	mark	those	pay	running	money	either	videos	again	important	u	starting	public	search	two	share	needs	different	coming	through	same	someone	everyone	house	hard	idea	members	done	least	part	believe	most	find	please	mean	point	simple	create	understand	itself	big	bit	google	often	back	single	giving	access	others	themselves	ll	instead	text	taking	value	almost	thought	add	like	happens	under	every	changed	changes	would	phone	must	me	my	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	full	news	been	quickly	n	several	social	election	everything	head	donald	check	no	when	longer	focus	cool	level	says	goes	water	today	trump	name	place	given	white	any	ideas	sure	later	hear	state	ways	come	case	myself	good	without	seems	blog	or	there	far	list	design	what	version	known	short	might	expect	feel	story	store	kind	nothing	his	wrote	art	recently	c	questions	question	long	called	users	once	include	app	use	few	something	looks	choose	related	our	out	their	remember	which	who	why	view	job	will	gets	whole	other	know	press	because	getting	own	made	whether	book
PaulStamatiou.com - Technology, Design and Photography	3	14	33	9	14	13	50	8	85	3	60	1	6	26	22	38	2	10	7	20	8	88	10	8	28	88	16	9	23	18	34	3	21	21	6	78	22	23	9	48	16	3	16	40	121	13	24	5	3	2	16	3	11	7	12	22	28	36	18	1	42	17	44	11	37	11	1	6	5	0	8	15	5	9	16	4	21	3	11	10	17	13	15	0	25	73	11	12	1	18	33	7	33	21	6	5	53	0	30	61	5	27	112	13	11	24	1	13	64	21	10	11	34	27	13	4	6	50	19	20	1	1	35	1	6	8	8	1	25	45	47	12	23	19	0	2	20	3	3	2	0	3	51	15	10	53	41	76	37	9	23	72	10	24	2	6	40	3	36	11	41	203	13	19	4	3	17	7	4	0	11	13	43	1	85	19	2	4	10	44	3	42	7	0	113	23	8	34	9	11	25	11	11	28	1	223	0	9	8	11	16	35	21	30	3	30	2	2	14	4	31	4	11	9	0	4	4	11	12	46	5	14	18	11	7	50	70	6	40	27	5	12	75	34	12	3	13	2	24	2	11	4	24	1	8	1	1	19	59	24	6	16	0	6	6	1	39	36	52	19	10	3	4	4	0	5	7	34	88	4	10	0	20	13	7	2	0	5	23	63	6	7	8	7	3	9	1	4	41	42	3	4	10	1	9	69	141	42	8	117	7	5	4	26	20	5	3	25	10	17	0	3	3	6	9	6	3	42	17	23	60	12	6	1	39	8	13	117	20	11	0	2	14	4	23	2	11	14	7	6	0	6	3	4	30	16	6	7	4	27	32	5	6	8	15	8	0	21	7	38	3	26	26	6	3	18	22	20	4	7	9	41	74	14	27	10	0	18	5	6	50	22	0	9	6	6	17	18	118	6	3	22	11	3	109	37	9	61	239	17	19	42	14	15	24	6	30	16	17	11	29	6	25	3	0	12	18	25	11	3	9	1	0	17	1	0	7	52	116	13	2	3	9	4	6	0	2	0	14	16	3	1	51	6	20	15	0	8	4	13	13	8	25	21	7	14	143	101	4	8	83	87	15	1	10	23	5	18	4	8	4	8	10	9	3	7	9	13	3	15	13	20	3	5	49	99	55	47	2	1	3	53	79	36	4	34	2	21	7	6	119	6	11	52	19	4	8	30	36	20	2	2
Search Engine Roundtable	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	1	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
Copyblogger	0	0	0	0	1	0	2	0	8	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	2	3	0	0	1	2	1	0	0	0	0	0	2	0	0	0	3	1	0	0	2	0	0	0	2	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	10	0	0	6	0	0	0	2	0	0	0	0	3	0	2	0	0	2	0	1	1	1	0	0	7	0	1	0	0	2	3	0	0	10	0	0	5	8	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	11	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	4	0	3	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	2	0	0	1	0	0	0	4	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	1	1	2	0	0	1	4	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Joi Ito's Web	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	1	0	1	5	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0
Engadget RSS Feed	0	0	2	1	1	1	0	1	1	1	3	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	2	0	1	0	2	1	1	3	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	1	8	0	16	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	1	3	0	0	3	2	0	0	0	1	4	1	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	1	1	0	1	0	1	0	2	7	2	0	1	0	2	0	0	0	0	1	1	0	1	6	0	1	0	0	0	2	1	3	0	2	0	0	2	6	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	2	0	11	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	1	3	3	1	0	0	0	0	0	0	1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	2	1	1	0	0	1	1	0	8	1	1	1	2	0	0	0	0	2	2	2	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	3	3	0	0	1	0	3	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	7	1	1	0	2	0	0	3	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	4	0	1	2	0	0	2	0	2	0	1	1	0	0	1	2	0	0	1	0	1	1	0	5	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	5	0	2	0	0	2	2	0	1	0	5	2	0	1	1	1	0	0	1	3	0	2	2	1	0	0	13	4	0	2	0	0	1	1	2	1	0	0
ThinkProgress - Medium	3	0	1	0	3	4	4	0	11	2	15	3	3	8	3	0	1	3	8	3	3	14	1	3	5	11	2	2	5	0	32	2	6	3	2	7	2	3	1	2	2	3	9	1	20	4	5	1	7	1	5	0	1	8	3	6	13	16	13	2	0	5	4	1	7	1	77	2	0	0	4	2	2	1	5	2	0	11	1	9	1	5	5	4	4	16	1	4	0	4	5	1	7	4	1	0	2	0	10	4	0	1	16	7	1	1	0	2	2	2	0	1	4	2	2	5	6	13	3	0	2	3	3	1	0	3	0	9	2	12	2	2	0	5	1	4	5	1	2	14	7	0	16	3	0	5	10	34	1	2	1	18	2	2	1	0	4	3	2	5	4	59	3	0	0	3	16	0	0	1	0	0	6	4	11	10	2	0	1	2	1	9	3	2	17	8	2	14	5	3	1	2	2	4	8	3	3	2	2	1	1	5	0	11	1	3	3	5	8	0	1	2	1	2	3	2	1	3	9	14	1	4	1	4	3	3	10	0	2	0	1	2	7	1	2	0	8	3	14	5	0	2	1	1	6	6	2	4	9	4	2	0	84	1	9	3	7	1	5	4	60	1	2	0	20	4	5	11	11	2	2	2	1	1	4	0	22	1	5	4	5	5	2	1	2	0	7	3	15	4	1	6	42	3	2	0	16	9	2	16	5	2	15	9	0	4	5	7	2	4	1	3	0	0	2	1	2	17	2	2	6	0	4	2	14	0	6	14	4	1	6	2	8	5	0	2	1	2	10	7	7	1	5	0	6	0	0	3	1	8	4	0	1	15	1	1	0	2	7	5	0	10	1	0	2	4	0	0	2	2	5	1	0	1	16	0	2	0	4	4	3	8	0	2	0	2	4	0	9	2	6	6	0	1	18	1	1	6	7	8	2	10	0	3	5	3	0	3	8	2	0	3	4	1	2	1	17	16	2	2	1	1	6	0	2	14	0	8	19	2	0	0	1	19	3	2	4	45	0	4	2	9	9	4	0	4	2	19	2	6	3	2	10	5	0	0	30	13	6	3	0	25	0	2	5	5	2	0	10	2	4	3	29	4	0	0	8	0	4	8	5	3	2	3	0	2	4	4	3	2	3	5	19	29	0	21	21	4	1	8	27	1	2	15	2	4	15	3	10	4	3	0
A Consuming Experience (full feed)	0	0	14	0	1	4	12	0	12	0	10	0	2	1	2	1	0	2	3	4	1	1	0	6	3	14	2	4	12	5	8	3	1	0	3	13	0	0	1	6	4	2	0	3	26	1	4	3	0	2	45	0	1	2	7	3	2	13	4	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	2	0	0	8	5	10	3	0	4	10	0	0	1	5	21	2	0	1	0	3	18	1	7	1	0	3	20	0	0	4	0	13	1	0	0	5	7	2	0	3	1	7	10	5	0	0	11	1	1	1	0	1	19	3	1	0	1	1	0	0	1	3	0	0	0	21	12	0	3	38	7	6	2	4	2	16	0	2	0	0	0	0	11	0	14	7	0	0	0	0	6	28	0	2	0	0	3	0	12	0	0	4	0	1	1	6	2	0	17	1	0	0	0	1	1	2	0	2	0	63	0	1	3	6	0	3	0	2	0	0	1	8	1	1	0	0	2	0	0	3	0	1	0	3	7	2	2	10	3	4	2	0	5	1	0	0	14	4	5	3	7	4	15	0	21	1	2	0	1	0	0	1	7	0	2	0	0	6	10	0	5	2	0	0	0	0	0	0	0	3	1	11	22	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	3	2	0	0	17	1	4	0	0	2	0	1	56	19	10	34	3	9	0	9	6	0	1	3	0	13	0	0	0	29	0	0	0	12	2	1	9	1	0	0	7	1	3	17	1	0	0	0	5	0	5	0	1	0	13	0	0	3	0	4	4	0	0	3	0	1	15	0	0	0	4	0	0	1	4	0	0	7	9	5	0	3	0	2	0	1	1	13	4	0	8	2	1	0	1	0	11	2	2	2	5	1	0	17	18	0	1	5	1	2	5	0	1	10	22	9	1	9	0	2	4	5	1	1	7	9	3	1	4	0	1	4	1	5	1	0	0	0	0	3	0	0	5	11	17	3	0	0	2	1	0	0	0	0	13	1	0	0	2	0	13	3	0	0	2	0	6	1	2	5	5	15	41	23	0	3	0	10	13	1	0	1	0	1	0	3	1	2	0	0	0	2	4	0	0	3	4	0	4	0	0	22	1	6	4	5	0	0	5	3	1	14	2	2	9	0	15	1	0	15	3	7	13	1	3	4	0	0
ProBlogger	9	11	47	0	7	3	116	3	151	21	152	1	15	0	7	1	26	16	19	19	11	49	24	6	137	76	1	1	44	0	157	1	0	55	1	112	23	2	19	10	8	1	5	0	113	53	38	0	8	9	3	0	4	58	1	50	73	49	65	2	9	18	34	7	2	7	10	9	0	1	1	7	1	3	9	4	0	0	9	1	18	13	190	3	30	70	0	1	27	8	42	0	43	17	15	2	16	31	30	58	16	3	89	74	18	21	2	11	8	48	3	0	20	40	10	10	46	73	52	2	2	9	44	12	4	14	18	11	155	52	30	3	0	28	18	6	24	5	0	2	2	10	36	0	4	57	145	183	5	8	31	248	8	28	21	7	6	5	189	14	59	258	3	1	9	1	7	9	0	1	87	1	22	2	58	25	4	8	20	4	0	15	4	0	18	9	12	57	8	23	9	23	20	1	6	325	3	2	49	25	10	2	12	39	0	49	3	1	39	7	90	30	4	27	0	7	0	10	5	0	1	5	48	12	21	36	14	1	13	2	5	2	202	6	14	8	7	0	42	20	5	8	47	6	0	1	0	22	43	10	6	16	40	2	1	3	98	18	1	3	14	6	16	1	0	2	0	37	60	14	15	1	3	18	29	8	0	5	27	18	8	17	2	160	8	2	1	5	81	106	9	1	43	0	37	2	140	66	18	136	2	2	0	21	2	5	0	65	17	24	2	33	36	3	32	2	2	15	58	97	88	2	56	18	74	1	22	130	15	34	0	4	71	23	4	19	7	0	42	25	1	27	2	9	32	39	1	64	7	47	14	61	12	2	9	23	1	32	8	22	2	44	40	6	6	28	11	35	4	3	27	65	9	11	47	23	6	2	10	4	57	3	0	11	4	9	21	24	87	3	0	31	5	2	91	0	3	109	222	9	21	59	90	11	73	11	20	28	12	15	21	18	6	3	3	18	7	57	4	0	1	13	1	6	10	0	4	35	82	6	13	7	18	2	6	2	80	0	12	8	2	0	30	20	10	8	11	0	24	34	9	21	38	13	0	256	185	144	6	48	2	167	1	3	5	112	4	18	20	0	34	2	11	14	4	5	0	24	28	25	4	1	22	2	0	30	48	70	0	7	5	123	113	84	9	25	128	18	12	29	87	8	15	77	78	0	86	31	26	25	26	8
TMZ.com	0	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	4	1	0	0	2	0	0	0	6	2	0	0	1	0	1	0	1	1	0	0	0	0	0	2	1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	1	2	0	0	0	3	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	0	0	0	0	6	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	5	1	0	0	0	1	1	0	0	4	3	0	1	1	11	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	4	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	3	0	0	2	3	0	0	0	4	3	0	4	0	2	0	0	0	0	3	0	0	0	0	3	1	0	0	5	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	0	3	0	0	0	0	0	3	0	0	0	4	0	0	1	0	0	2	0	0	2	1	0	2	0	0	0	0	0	3	0	0	3	1	0	0	0	0	2	0	2	2	0	0	0	0	3	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	11	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	2	0	0	1	0	0	1	0	0	1	1	1	0	0	0
Top Picks  Hot Air	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
